300cm def,5,
0.8,0.98,0.77
0.89,0.03,0.0
0.0,1.19,0.0
0.0,0.09,0.69
0.73,0.64,0.34
2.832
3.515
3.522
3.576
3.313
3.212
3.262
3.611
2.753
3.14
3.524
3.487
3.534
2.741
3.494
3.51
3.491
3.151
3.442
3.447
3.44
3.466
3.431
3.449
3.423
3.491
3.496
2.821
3.229
3.51
3.248
3.262
2.814
3.229
2.835
2.783
2.786
2.788
2.772
3.21
2.769
2.802
2.764
3.154
2.772
2.793
2.732
3.135
2.741
2.753
2.757
2.76
2.767
2.772
2.795
2.788
2.769
2.72
3.081
2.704
2.772
2.739
3.098
2.776
2.788
2.748
2.769
2.809
2.788
2.786
2.769
2.772
3.154
2.774
2.725
3.531
2.764
2.774
2.704
3.529
2.788
3.147
2.781
2.786
3.151
2.783
2.781
2.739
3.548
2.772
2.79
2.793
3.173
3.583
3.156
2.79
3.194
3.173
2.795
3.56
3.571
3.491
3.524
3.184
3.158
2.856
3.503
3.585
3.205
2.877
3.166
3.489
2.858
3.21
3.555
3.48
3.438
3.459
3.473
3.144
3.489
3.442
3.445
3.438
3.487
3.522
3.55
3.428
3.414
3.428
3.499
3.428
3.374
3.416
3.426
3.234
3.494
3.224
3.236
3.201
3.423
3.426
3.445
3.304
3.527
3.545
3.276
3.571
3.428
3.435
3.421
3.224
3.552
3.245
3.285
3.475
3.423
3.409
3.386
3.466
3.245
3.231
3.489
3.454
3.463
3.419
3.407
3.426
3.25
3.428
3.534
3.522
3.475
3.482
3.449
3.419
3.402
3.423
3.142
3.482
3.454
3.459
3.407
3.473
3.52
3.442
3.407
3.407
3.438
3.412
3.419
3.447
3.442
3.484
3.421
3.423
3.459
3.217
3.489
3.426
3.438
3.522
3.454
3.409
3.393
3.402
3.407
3.438
3.414
3.438
3.384
3.452
3.435
3.269
3.489
3.147
3.473
3.445
3.421
3.423
3.166
3.456
3.461
3.304
3.287
3.501
3.531
3.431
3.273
3.421
3.219
3.297
3.438
3.517
3.426
3.466
3.271
3.536
3.477
3.442
3.393
3.412
3.442
3.201
3.28
3.416
3.325
3.423
3.243
3.407
3.18
3.463
3.428
3.414
3.452
3.534
3.506
3.421
3.423
3.501
3.407
3.515
3.215
3.529
3.48
3.482
3.527
3.475
3.482
3.517
3.29
3.161
3.173
3.309
3.236
3.151
3.184
2.891
3.515
3.163
3.173
3.529
3.142
2.818
3.161
3.527
3.454
3.187
3.229
3.459
3.428
3.269
3.177
3.482
3.482
3.173
3.224
3.241
3.189
3.445
3.466
3.456
3.433
3.419
3.508
3.454
3.25
3.243
3.445
3.468
3.475
3.4
3.435
3.463
3.222
3.006
3.491
3.158
3.102
3.419
3.402
3.499
3.137
3.459
3.459
3.154
3.175
3.491
2.976
3.447
3.431
3.158
3.468
3.182
3.47
3.201
3.454
3.173
3.156
3.264
3.156
2.999
2.98
3.534
3.226
2.969
2.98
3.491
3.506
3.466
3.208
3.491
2.985
3.508
3.231
3.506
3.452
3.513
3.473
3.219
3.416
3.51
3.496
