kerui 3,5,
0.8,0.98,0.77
0.89,0.03,0.0
0.0,1.19,0.0
0.0,0.09,0.69
0.73,0.64,0.34
2.333
2.356
2.338
2.347
1.282
2.345
2.342
2.328
2.359
2.342
2.335
2.333
2.338
2.349
2.347
2.354
2.368
2.37
2.331
2.345
2.328
2.317
2.328
2.328
2.349
2.368
2.319
2.34
2.361
2.333
2.338
2.338
2.356
2.349
2.342
2.328
2.359
2.317
2.368
2.347
2.333
2.347
2.34
2.333
2.307
1.775
2.317
2.331
2.342
1.817
2.347
2.373
1.756
2.347
2.338
2.359
1.789
2.38
2.359
2.352
2.385
2.347
2.338
2.335
2.342
2.342
2.347
2.37
2.366
2.359
2.363
2.394
2.373
2.356
2.363
2.34
2.368
2.359
2.368
2.354
2.361
2.378
2.38
2.366
2.366
2.347
2.359
2.345
2.338
2.347
2.378
2.347
2.387
2.382
2.387
2.352
2.38
2.368
2.356
2.356
2.352
2.354
2.373
2.399
2.378
2.382
2.335
2.338
2.394
2.399
2.389
2.373
2.347
2.338
2.408
2.368
2.396
2.349
2.366
1.803
1.751
2.363
2.382
2.378
2.399
1.803
1.829
2.37
2.417
2.352
2.354
2.396
1.21
1.812
2.335
2.378
1.763
2.41
2.41
2.363
2.387
2.385
1.772
2.354
2.387
2.34
1.84
2.37
2.354
2.363
2.342
1.791
1.221
2.382
1.826
2.368
2.396
1.822
1.791
2.37
2.417
2.354
2.368
2.368
1.815
1.845
1.862
2.347
2.352
2.352
2.375
2.387
1.798
2.356
2.408
2.37
2.349
2.373
2.385
1.801
2.354
2.361
2.41
1.826
2.349
2.352
2.38
1.819
2.387
1.791
1.852
2.359
2.392
1.838
2.361
1.801
1.876
2.385
2.363
2.382
2.382
2.37
2.368
2.373
2.401
1.838
1.791
1.836
2.389
1.862
2.359
2.387
1.878
1.257
1.768
1.805
1.273
2.34
1.836
1.221
1.838
1.282
1.794
1.306
2.373
1.796
2.375
1.247
1.292
2.389
1.221
1.794
1.796
1.271
2.373
1.78
1.848
1.822
1.836
2.415
1.266
1.782
1.32
1.77
1.855
1.768
1.285
1.247
2.375
2.352
1.878
1.789
1.845
2.375
1.85
2.406
1.789
1.829
2.345
1.869
1.257
1.794
1.742
1.812
1.289
1.751
1.259
1.822
1.252
1.249
2.359
1.852
1.833
1.264
2.396
1.268
1.808
1.282
1.819
1.733
1.812
1.315
2.385
1.817
1.824
1.855
2.373
1.313
1.829
1.768
1.829
2.37
1.836
2.347
2.352
1.278
2.359
1.869
2.389
1.843
1.789
1.794
1.402
2.38
1.904
2.399
1.815
1.285
1.845
1.257
2.387
2.394
1.836
1.808
1.836
1.794
2.352
1.362
2.38
1.822
1.247
1.824
1.313
1.245
1.289
1.264
1.268
1.231
1.257
1.815
1.282
1.254
2.345
1.301
1.329
1.231
1.848
1.845
1.789
1.24
2.361
1.308
1.273
1.763
1.393
1.266
1.301
1.231
1.301
1.294
1.334
1.242
1.245
1.282
1.296
1.231
1.801
1.261
1.343
2.387
1.292
1.77
1.285
1.268
1.294
1.271
1.252
1.836
1.805
1.299
1.303
1.278
1.829
1.247
1.317
1.756
1.796
1.859
1.822
1.254
