100cm snow,5,
0.8,0.98,0.77
0.89,0.03,0.0
0.0,1.19,0.0
0.0,0.09,0.69
0.73,0.64,0.34
1.128
1.13
1.132
1.111
1.111
1.111
1.128
1.128
1.109
1.111
1.116
1.113
1.125
1.123
1.109
1.121
1.109
1.121
1.128
1.13
1.128
1.118
1.116
1.104
1.128
1.102
1.104
1.111
1.123
1.111
1.104
1.109
1.113
1.128
1.113
1.118
1.121
1.109
1.109
1.106
1.109
1.118
1.116
1.125
1.104
1.128
1.104
1.144
1.113
1.113
1.139
1.106
1.097
1.13
1.123
1.106
1.109
1.121
1.09
1.123
1.111
1.139
1.144
1.109
1.099
1.128
1.125
1.139
1.132
1.13
1.144
1.128
1.106
1.121
1.135
1.106
1.109
1.123
1.128
1.121
1.113
1.132
1.125
1.109
1.118
1.09
1.118
1.118
1.118
1.113
1.102
1.069
1.102
1.125
1.083
1.109
1.123
1.132
1.111
1.121
1.118
1.118
1.132
1.151
1.111
1.121
1.142
1.111
1.132
1.111
1.106
1.111
1.135
1.121
1.125
1.113
1.149
1.128
1.123
1.111
1.109
1.149
1.102
1.128
1.132
1.116
1.13
1.102
1.118
1.135
1.142
1.118
1.106
1.13
1.132
1.116
1.132
1.111
1.111
1.128
1.116
1.144
1.135
1.106
1.142
1.104
1.118
1.118
1.137
1.135
1.123
1.167
1.139
1.116
1.13
1.151
1.137
1.13
1.132
1.125
1.118
1.13
1.156
1.139
1.146
1.128
1.125
1.118
1.123
1.128
1.153
1.132
1.13
1.137
1.111
1.132
1.142
1.149
1.123
1.142
1.139
1.146
1.149
1.151
1.149
1.118
1.151
1.13
1.128
1.139
1.146
1.109
1.149
1.132
1.123
1.156
1.118
1.137
1.137
1.128
1.113
1.149
1.128
1.116
1.116
1.116
1.09
1.104
1.109
1.13
1.111
1.132
1.144
1.132
1.118
1.111
1.128
1.121
1.092
1.111
1.106
1.132
1.116
1.132
1.111
1.123
1.116
1.125
1.142
1.132
1.135
1.137
1.139
1.113
1.128
1.109
1.118
1.132
1.113
1.095
1.123
1.118
1.149
1.116
1.111
1.128
1.118
1.106
1.144
1.121
1.118
1.123
1.109
1.102
1.109
1.137
1.146
1.132
1.111
1.123
1.118
1.121
1.144
1.113
1.116
1.109
1.132
1.144
1.132
1.118
1.097
1.104
1.128
1.111
1.135
1.118
1.123
1.132
1.144
1.149
1.128
1.144
1.139
1.106
1.097
1.118
1.123
1.097
1.116
1.128
1.102
1.167
1.125
1.099
1.116
1.137
1.116
1.146
1.144
1.135
1.151
1.13
1.113
1.128
1.146
1.146
1.13
1.116
1.137
1.132
1.118
1.151
1.111
1.125
1.132
1.128
1.116
1.113
1.149
1.146
1.144
1.128
1.149
1.132
1.111
1.151
1.13
1.142
1.121
1.118
1.13
1.144
1.102
1.125
1.109
1.137
1.128
1.151
1.13
1.151
1.153
1.116
1.132
1.144
1.125
1.116
1.142
1.121
1.128
1.128
1.137
1.16
1.153
1.118
1.151
1.153
1.13
1.13
1.118
1.116
1.139
1.151
1.118
1.137
1.135
1.146
1.158
1.13
1.116
1.125
1.113
1.132
1.132
1.135
1.135
1.121
1.13
1.128
1.13
1.146
1.132
