50cm def 2,5,
0.8,0.98,0.77
0.89,0.03,0.0
0.0,1.19,0.0
0.0,0.09,0.69
0.73,0.64,0.34
0.626
0.63
0.67
0.64
0.654
0.673
0.598
0.64
0.684
0.633
0.658
0.651
0.656
0.637
0.654
0.668
0.684
0.644
0.609
0.569
0.607
0.635
0.663
0.64
0.684
0.68
0.691
0.762
0.705
0.71
0.708
0.644
0.708
0.694
0.658
0.666
0.647
0.684
0.703
0.701
0.661
0.668
0.623
0.715
0.71
0.698
0.68
0.694
0.614
0.607
0.588
0.59
0.623
0.757
0.872
0.759
0.727
0.68
0.626
0.607
0.637
0.637
0.673
0.757
0.797
0.844
0.921
0.909
0.961
1.022
1.02
0.752
0.778
0.764
0.499
0.548
0.539
0.572
0.59
0.598
0.579
0.581
0.576
0.548
0.572
0.609
0.485
0.513
0.466
0.431
0.764
0.816
0.891
0.727
0.802
1.022
0.712
0.966
0.961
0.893
0.853
0.839
0.809
0.717
0.701
0.689
0.67
0.64
0.588
0.656
0.553
0.598
0.574
0.586
0.544
0.649
0.682
0.644
0.621
0.67
0.602
0.731
0.605
0.673
0.628
0.63
0.701
0.637
0.6
0.673
0.654
0.555
0.598
0.558
0.583
0.569
0.562
0.567
0.546
0.544
0.558
0.602
0.586
0.619
0.668
0.616
0.619
0.628
0.654
0.67
0.644
0.623
0.654
0.633
0.661
0.581
0.6
0.616
0.633
0.635
0.654
0.649
0.605
0.656
0.616
0.651
0.614
0.64
0.612
0.668
0.607
0.691
0.628
0.595
0.626
0.612
0.612
0.598
0.644
0.609
0.605
0.609
0.661
0.668
0.64
0.626
0.609
0.569
0.614
0.666
0.682
0.598
0.619
0.586
0.628
0.616
0.626
0.612
0.635
0.63
0.595
0.637
0.567
0.602
0.59
0.607
0.635
0.576
0.569
0.619
0.598
0.558
0.586
0.579
0.555
0.567
0.565
0.572
0.59
0.56
0.574
0.581
0.569
0.6
0.633
0.588
0.569
0.607
0.605
0.612
0.609
0.583
0.633
0.623
0.576
0.586
0.551
0.586
0.68
0.654
0.727
0.682
0.651
0.719
0.682
0.731
0.628
0.656
0.717
0.691
0.773
0.673
0.738
0.736
0.71
0.719
0.736
0.731
0.736
0.682
0.668
0.743
0.722
0.698
0.698
0.642
0.661
0.635
0.605
0.647
0.642
0.607
0.675
0.621
0.661
0.602
0.623
0.612
0.642
0.619
0.612
0.6
0.684
0.658
0.649
0.682
0.619
0.626
0.682
0.635
0.644
0.666
0.6
0.598
0.555
0.607
0.59
0.602
0.642
0.649
0.63
0.576
0.642
0.602
0.708
0.666
0.609
0.612
0.736
0.633
0.63
0.701
0.727
0.724
0.687
0.635
0.663
0.698
0.663
0.724
0.677
0.748
0.675
0.651
0.635
0.727
0.647
0.668
0.675
0.687
0.687
0.701
0.675
0.694
0.694
0.759
0.698
0.691
0.715
0.743
0.766
0.745
0.755
0.703
0.705
0.691
0.698
0.717
0.689
0.654
0.694
0.687
0.71
0.663
0.717
0.717
0.701
0.703
0.71
0.701
0.712
0.68
0.729
0.691
0.703
0.67
0.736
0.687
0.666
0.708
0.635
0.715
0.689
0.663
0.719
0.724
0.67
0.734
0.708
0.661
0.687
0.658
0.673
0.71
0.658
0.687
0.628
0.651
0.635
0.717
0.628
0.71
0.684
0.712
0.642
0.661
0.647
0.663
0.64
0.649
0.64
0.654
0.656
0.633
0.654
0.654
0.651
0.708
0.633
0.654
0.651
0.67
0.644
0.644
0.658
0.663
0.623
0.642
0.691
0.647
0.666
0.687
0.677
0.696
0.651
0.649
