100cm snow,5,
0.8,0.98,0.77
0.89,0.03,0.0
0.0,1.19,0.0
0.0,0.09,0.69
0.73,0.64,0.34
1.144
1.13
1.116
1.123
1.137
1.125
1.104
1.128
1.137
1.144
1.121
1.113
1.156
1.121
1.123
1.123
1.128
1.13
1.121
1.116
1.123
1.137
1.125
1.142
1.128
1.139
1.128
1.142
1.116
1.125
1.146
1.146
1.144
1.146
1.139
1.128
1.151
1.13
1.137
1.142
1.125
1.104
1.125
1.142
1.13
1.137
1.118
1.13
1.116
1.109
1.132
1.099
1.139
1.113
1.113
1.113
1.102
1.118
1.128
1.137
1.128
1.099
1.125
1.128
1.109
1.132
1.135
1.146
1.109
1.128
1.132
1.111
1.137
1.144
1.146
1.149
1.139
1.128
1.137
1.132
1.139
1.13
1.125
1.116
1.13
1.142
1.135
1.139
1.146
1.121
1.137
1.109
1.125
1.104
1.146
1.142
1.121
1.144
1.128
1.123
1.13
1.13
1.113
1.116
1.144
1.118
1.146
1.144
1.13
1.128
1.111
1.146
1.151
1.151
1.109
1.132
1.135
1.156
1.109
1.123
1.121
1.151
1.146
1.13
1.142
1.137
1.106
1.128
1.118
1.13
1.142
1.132
1.118
1.116
1.142
1.139
1.142
1.149
1.113
1.139
1.123
1.121
1.118
1.102
1.118
1.144
1.125
1.139
1.123
1.118
1.149
1.132
1.125
1.099
1.135
1.123
1.121
1.139
1.144
1.125
1.146
1.135
1.137
1.106
1.106
1.097
1.104
1.123
1.123
1.113
1.099
1.104
1.102
1.121
1.137
1.121
1.116
1.144
1.116
1.132
1.125
1.121
1.111
1.137
1.104
1.125
1.109
1.109
1.116
1.125
1.118
1.113
1.132
1.123
1.13
1.137
1.104
1.125
1.151
1.135
1.153
1.146
1.13
1.132
1.113
1.116
1.135
1.132
1.128
1.135
1.125
1.125
1.158
1.113
1.132
1.132
1.135
1.144
1.099
1.113
1.128
1.137
1.128
1.132
1.113
1.13
1.125
1.132
1.149
1.125
1.118
1.097
1.121
1.139
1.095
1.116
1.116
1.116
1.132
1.123
1.142
1.125
1.139
1.144
1.121
1.111
1.092
1.111
1.144
1.139
1.121
1.128
1.132
1.125
1.109
1.151
1.109
1.121
1.13
1.139
1.123
1.118
1.111
1.123
1.132
1.149
1.121
1.118
1.167
1.109
1.104
1.118
1.102
1.132
1.102
1.132
1.146
1.13
1.097
1.116
1.123
1.123
1.116
1.111
1.116
1.142
1.111
1.135
1.102
1.125
1.13
1.128
1.146
1.106
1.144
1.13
1.128
1.137
1.139
1.104
1.104
1.128
1.102
1.118
1.13
1.111
1.099
1.153
1.121
1.123
1.142
1.137
1.109
1.121
1.135
1.123
1.104
1.106
1.118
1.118
1.095
1.144
1.121
1.092
1.104
1.132
1.104
1.121
1.135
1.118
1.128
1.123
1.111
1.111
1.106
1.125
1.121
1.135
1.139
1.128
1.121
1.121
1.116
1.116
1.118
1.137
1.137
1.139
1.106
1.125
1.125
1.109
1.099
1.116
1.116
1.123
1.146
1.128
1.125
1.099
1.121
1.139
1.125
1.111
1.128
1.125
1.132
1.104
1.137
1.149
1.13
1.137
1.121
1.113
1.102
1.109
1.109
1.132
1.128
1.123
1.121
1.111
1.111
1.106
1.128
1.144
1.125
1.121
1.113
1.109
1.118
1.123
1.139
1.123
1.137
1.116
1.099
1.118
1.123
1.142
1.097
1.113
1.123
