,4,
0.85,1.16,0.0
0.83,0.0,0.03
0.0,1.15,0.02
0.0,0.0,0.03
0.5244965514288538,0.5826435429443801,2.025930000586982
0.5286539542660416,0.5793957203028324,1.8566387736010483
0.5332504231803208,0.5909685646528278,2.6060914548179426
0.5373319655765911,0.5885298954305789,2.865608505128705
0.5485117417327681,0.6000284936442384,3.475581452283052
0.5503154721148977,0.6096490225315065,3.344421557522196
0.5405615677403457,0.588377498408212,2.8632210924545802
0.5406712146545329,0.5998237578679362,3.2328110527720924
