100cm orth,5,
0.8,0.98,0.77
0.89,0.03,0.0
0.0,1.19,0.0
0.0,0.09,0.69
0.73,0.64,0.34
0.865
0.945
0.945
0.947
0.961
0.977
0.973
0.905
0.942
0.949
0.954
0.975
0.992
0.945
0.933
0.888
0.907
0.874
0.963
0.966
0.945
0.949
0.926
0.909
0.846
0.952
0.919
0.912
0.931
0.879
0.872
0.865
0.921
0.959
0.968
0.968
0.968
0.933
0.94
0.879
0.888
0.924
0.949
0.928
0.924
0.928
0.935
0.926
0.926
0.977
0.968
0.98
0.905
0.916
0.924
0.942
0.933
0.949
0.935
0.959
0.94
0.935
0.947
0.931
0.97
0.933
0.945
0.954
0.928
0.926
0.954
0.966
0.947
0.963
0.945
0.942
0.928
0.898
0.956
0.956
0.945
0.999
0.954
0.952
0.959
0.947
0.954
0.954
0.949
0.959
0.947
0.907
0.961
0.935
0.9
0.909
0.961
0.956
0.919
0.954
0.954
0.881
0.919
0.987
0.949
0.954
0.945
0.954
0.954
0.947
0.982
0.975
0.98
0.954
0.966
0.968
0.973
0.942
0.97
0.949
0.935
0.952
0.996
0.975
0.94
1.013
0.987
0.963
0.975
0.931
0.973
0.945
0.954
0.966
0.973
0.947
0.97
0.949
0.94
0.996
0.966
0.931
1.003
0.947
0.938
0.98
0.952
0.97
1.024
0.963
0.963
0.952
0.966
0.959
0.905
0.973
0.954
0.956
0.982
0.961
0.961
0.994
0.949
0.999
0.968
0.952
0.952
0.966
0.989
0.949
0.956
0.961
0.98
0.952
0.881
0.966
0.954
0.938
0.926
0.949
0.954
0.949
0.947
0.919
0.961
0.97
0.963
1.006
0.956
0.966
0.968
0.942
0.968
0.996
0.963
0.961
0.914
0.949
0.931
0.975
1.017
0.956
0.959
0.956
1.003
0.968
0.977
0.968
0.94
0.963
0.977
0.949
0.954
0.97
0.975
0.952
0.98
0.977
0.966
0.961
0.963
0.947
0.952
0.973
0.982
0.956
0.973
0.942
1.006
0.966
0.952
0.952
0.933
0.98
0.949
0.888
0.97
0.959
0.952
0.98
0.952
0.954
0.973
0.942
0.966
0.975
0.942
0.98
0.97
0.935
0.996
0.975
0.989
0.97
0.945
0.963
0.987
0.973
0.961
0.992
0.945
0.949
0.938
0.949
0.933
0.952
0.949
0.954
0.968
0.952
0.973
0.961
0.973
0.994
0.963
0.954
0.987
0.987
0.961
0.977
0.968
0.987
0.977
0.977
0.959
0.952
0.952
0.954
0.914
1.024
0.959
0.968
0.963
0.982
0.982
0.926
1.01
0.982
0.954
0.963
0.97
0.989
0.975
0.931
0.959
0.987
0.966
0.952
0.912
0.898
0.877
0.952
0.907
0.895
0.935
0.909
0.921
0.877
0.928
0.909
0.945
0.935
0.914
0.961
0.916
0.94
0.935
0.921
0.905
0.968
0.938
0.959
0.963
0.916
0.907
0.881
0.879
0.966
0.975
0.921
0.921
0.945
0.909
0.881
0.916
0.902
0.921
0.886
0.893
0.905
0.881
0.884
0.94
0.94
0.952
