50 def 3,5,
0.8,0.98,0.77
0.89,0.03,0.0
0.0,1.19,0.0
0.0,0.09,0.69
0.73,0.64,0.34
0.694
0.656
0.654
0.586
0.574
0.616
0.658
0.712
0.609
0.712
0.654
0.637
0.644
0.548
0.605
0.548
0.598
0.647
0.574
0.63
0.666
0.628
0.576
0.605
0.6
0.569
0.565
0.532
0.614
0.525
0.595
0.56
0.593
0.588
0.518
0.546
0.569
0.572
0.595
0.574
0.623
0.586
0.656
0.63
0.635
0.621
0.607
0.623
0.548
0.576
0.612
0.588
0.602
0.649
0.605
0.626
0.63
0.626
0.598
0.619
0.581
0.623
0.644
0.602
0.616
0.586
0.626
0.621
0.579
0.583
0.567
0.588
0.63
0.546
0.593
0.558
0.612
0.569
0.579
0.586
0.567
0.576
0.607
0.548
0.6
0.548
0.572
0.609
0.562
0.59
0.56
0.579
0.588
0.565
0.605
0.544
0.602
0.6
0.576
0.565
0.602
0.623
0.581
0.579
0.579
0.565
0.605
0.581
0.586
0.562
0.64
0.574
0.595
0.586
0.565
0.555
0.605
0.635
0.609
0.682
0.572
0.649
0.59
0.586
0.595
0.623
0.586
0.668
0.649
0.649
0.609
0.593
0.598
0.574
0.644
0.598
0.602
0.612
0.595
0.614
0.633
0.588
0.614
0.59
0.572
0.649
0.621
0.562
0.598
0.555
0.63
0.555
0.574
0.565
0.619
0.595
0.558
0.544
0.614
0.534
0.525
0.574
0.586
0.572
0.609
0.567
0.607
0.56
0.567
0.598
0.562
0.548
0.588
0.579
0.565
0.581
0.614
0.574
0.605
0.562
0.583
0.579
0.569
0.548
0.541
0.63
0.565
0.546
0.628
0.6
0.555
0.6
0.569
0.544
0.609
0.576
0.539
0.598
0.572
0.586
0.637
0.616
0.621
0.522
0.607
0.588
0.6
0.567
0.595
0.614
0.598
0.621
0.612
0.609
0.569
0.53
0.602
0.546
0.59
0.602
0.574
0.619
0.586
0.567
0.569
0.567
0.558
0.605
0.607
0.546
0.56
0.583
0.558
0.598
0.586
0.593
0.588
0.605
0.623
0.576
0.567
0.539
0.588
0.581
0.581
0.565
0.616
0.6
0.586
0.548
0.574
0.635
0.53
0.602
0.6
0.53
0.609
0.583
0.609
0.583
0.595
0.616
0.59
0.558
0.607
0.628
0.607
0.602
0.635
0.579
0.576
0.654
0.63
0.628
0.593
0.616
0.593
0.647
0.595
0.602
0.621
0.694
0.593
0.574
0.583
0.626
0.661
0.63
0.637
0.67
0.649
0.619
0.602
0.701
0.673
0.619
0.658
0.633
0.642
0.64
0.654
0.666
0.614
0.635
0.658
0.642
0.649
0.677
0.668
0.689
0.668
0.701
0.67
0.64
0.67
0.663
0.745
0.684
0.745
0.727
0.729
0.762
0.727
0.771
0.719
0.755
0.724
0.724
0.731
0.752
0.684
0.705
0.757
0.715
0.748
0.722
0.731
0.736
0.701
0.71
0.734
0.691
0.755
0.71
0.673
0.71
0.698
0.677
0.689
