100cm metal 2,5,
0.8,0.98,0.77
0.89,0.03,0.0
0.0,1.19,0.0
0.0,0.09,0.69
0.73,0.64,0.34
2.035
2.009
1.965
1.719
1.353
1.184
1.897
1.667
1.418
1.899
1.679
1.498
1.601
1.151
1.681
1.758
1.643
1.313
1.099
1.294
1.672
1.252
1.231
1.604
1.629
1.167
1.228
1.289
1.289
1.266
1.257
1.184
1.299
1.632
1.242
1.254
1.156
1.282
1.249
1.245
1.306
1.268
1.28
1.313
1.317
1.327
1.193
1.245
1.317
1.21
1.31
1.313
1.16
1.268
1.329
1.444
1.334
1.329
1.308
1.275
1.285
1.21
1.16
1.189
1.247
1.21
1.153
1.212
1.17
1.109
1.641
1.228
1.207
1.233
1.203
1.191
1.261
1.207
1.144
1.662
1.665
1.597
1.667
2.047
2.087
1.634
2.068
2.075
1.585
1.573
1.578
1.594
2.028
2.052
1.536
1.568
1.177
1.599
1.217
1.552
2.045
1.203
1.632
1.566
1.198
1.205
2.028
2.021
1.177
1.599
1.167
1.149
1.552
1.564
1.974
1.953
1.969
1.944
2.007
1.958
1.958
1.946
1.941
1.955
1.953
1.948
1.96
1.953
1.519
1.564
2.035
1.979
1.557
2.009
2.014
1.519
1.594
2.033
2.045
1.991
2.007
1.554
2.0
2.023
1.177
1.196
2.028
1.547
1.16
2.054
2.014
1.622
2.04
1.965
1.561
1.193
1.573
1.606
1.601
1.599
2.026
1.55
1.179
1.149
1.648
1.167
2.012
1.554
1.193
2.023
2.012
1.988
1.984
1.545
1.196
1.205
1.587
1.573
1.979
1.573
1.597
1.205
1.594
1.976
1.93
1.967
1.962
1.578
1.962
1.976
1.965
1.965
1.58
1.627
1.625
1.601
2.007
1.967
1.986
1.618
1.981
1.615
1.629
1.634
1.993
1.991
2.009
1.597
1.653
1.674
2.002
1.651
2.005
1.292
2.04
1.313
2.009
1.648
1.665
2.012
1.615
1.32
1.289
1.634
1.606
1.627
1.285
1.559
1.613
1.62
1.993
1.278
2.007
1.62
2.002
1.993
1.594
1.979
2.002
2.002
1.962
1.986
2.005
1.566
2.005
1.587
2.012
1.604
1.991
1.604
2.005
1.969
1.606
1.62
1.613
2.021
1.984
1.627
2.035
1.615
2.028
1.981
1.995
1.59
1.615
1.622
1.571
1.634
1.629
1.615
1.611
1.594
1.608
2.033
1.979
1.636
2.03
1.665
1.643
1.648
1.646
1.993
1.662
2.019
1.958
1.658
2.03
2.016
2.007
2.021
2.033
2.014
2.012
2.04
1.601
2.023
1.995
2.019
1.981
2.009
2.023
1.981
1.998
2.014
2.026
2.016
2.012
1.998
1.984
1.974
2.042
1.941
2.014
2.012
1.962
1.969
2.009
2.023
1.986
1.998
1.934
1.979
1.995
2.035
2.009
1.955
2.023
1.923
1.995
1.908
1.991
1.972
1.976
1.953
1.972
1.988
1.998
1.995
1.991
1.958
1.991
1.981
1.96
1.988
1.991
1.972
1.984
1.986
1.995
1.972
1.967
1.984
1.981
1.979
1.988
1.944
1.939
1.986
1.946
1.545
1.974
1.972
1.984
1.962
2.007
1.545
1.955
1.974
1.991
1.958
1.953
1.981
1.976
1.965
1.988
1.962
1.976
